Fecha,N° Casos
07/01/2020,282528.0
07/02/2020,284727.0
07/03/2020,286861.0
07/04/2020,289264.0
07/05/2020,299135.0
07/06/2020,302368.0
07/07/2020,304875.0
07/08/2020,306955.0
07/09/2020,308968.0
07/10/2020,311273.0
07/11/2020,321611.0
07/12/2020,324806.0
07/13/2020,327223.0
07/14/2020,329183.0
07/15/2020,331075.0
07/16/2020,333283.0
07/17/2020,344087.0
07/18/2020,347243.0
07/19/2020,349570.0
07/20/2020,351412.0
07/21/2020,353183.0
07/22/2020,355293.0
07/23/2020,366563.0
07/24/2020,369681.0
07/25/2020,371918.0
07/26/2020,373640.0
07/27/2020,375290.0
07/28/2020,377303.0
07/29/2020,389039.0
07/30/2020,392119.0
